#--------------------------------------------------------
#     W50                       R_LUM       R_LUM14
#      (ms)                      (mJy kpc^2) (mJy kpc^2)
#--------------------------------------------------------
387   4.0         0  jk18       9.90        1.70
388   12          0  kbm+03     *           28.01
389   5.0         0  jk18       440.00      136.80
390   5.4         0  jk18       *           2.34

391   9.8         0  ncb+15     *           10.83
392   21          0  kel+09     *           20.06
393   62          0  mlc+01     *           13.88
394   9.7         0  bfrs18     176.21      2.37
395   12          0  kbm+03     *           22.89

396   54.3        0  ncb+15     *           5.34
397   11          0  kbm+03     *           2.62
398   2.5         0  jk18       *           0.69
399   20          0  mlc+01     *           35.34
400   3.5         0  jk18       53.86       11.04

401   3.5         0  kbm+03     *           0.35
402   8.6         0  kbm+03     *           3.03
403   34.8        0  ncb+15     *           50.74
404   6.0         0  lylg95     7500.00     750.00
405   21.4        0  jk18       11.15       3.22

406   0.66        0  *          10.06       1.01
407   22.1        0  ccb+20     *           28.83
408   22.3        0  jk18       *           56.28
409   11          0  kbm+03     *           0.23
410   7           0  hfs+04     *           62.50

411   93          0  kbm+03     *           23.11
412   23.4        0  jk18       *           31.16
413   38          0  mlc+01     *           37.81
414   14.6        0  jk18       *           90.16
415   19          0  mlc+01     *           200.00

416   14.4        0  jk18       4106.69     297.38
417   33          0  kbm+03     *           18.29
418   20.4        0  jk18       *           1259.60
419   505         0  mlc+01     *           162.78
420   5.9         0  lfl+06     *           8.77

421   26          0  mlc+01     *           30.12
422   10.0        0  kbm+03     *           19.00
423   6.7         0  lylg95     2500.00     312.50
424   3.2         0  kapw91     424.36      *
425   33          0  tml93      360.89      *

426   23          0  qmlg95     280.50      *
427   34          0  mlc+01     *           1.75
428   59          0  kbm+03     *           29.89
429   119         0  cmk01      *           462.50
430   10.2        0  jk18       *           260.96

431   4.4         0  jk18       *           182.61
432   13          0  kbm+03     *           124.90
433   9.8         0  jk18       5.33        3.58
434   7.6         0  jk18       87.44       10.20
435   26          0  kel+09     *           118.75

436   19.6        0  lylg95     13.00       1.06
437   8.7         0  mlc+01     *           55.40
438   34          0  kbm+03     *           26.04
439   72          0  kbm+03     *           456.25
440   18          0  kbm+03     *           31.40

441   5.6         0  jk18       1080.00     162.00
442   7.7         0  jk18       2588.55     273.24
443   41.9        0  jk18       1269.71     616.72
444   8.8         0  jk18       2160.00     336.00
445   4.8         0  jk18       *           162.39

446   11.5        0  jk18       *           35.44
447   10.4        0  jk18       36.50       8.92
448   20          0  tml93      775.42      *
449   31          0  kbm+03     *           31.01
450   27.9        0  jk18       *           23.94

451   34          2  dsb+98     7.00        0.23
452   1.3         0  jk18       *           0.62
453   4.1         0  hfs+04     112.05      3.86
454   30          3  dsb+98     61.45       *
455   12          0  hfs+04     *           18.40

456   0.73        0  nbb+14     *           10.23
457   89.5        0  jk18       *           901.78
458   1.9         0  jk18       *           1.03
459   26          0  kbm+03     *           12.35
460   14.1        0  jk18       17.69       1.77

461   9.2         0  mlc+01     *           33.37
462   7.7         0  jk18       *           428.58
463   0.24        0  hrs+07     *           0.69
464   0.20        0  hrs+07     *           1.37
465   0.24        0  hrs+07     *           0.59

466   0.50        0  hrs+07     *           0.98
467   13.0        0  ccb+20     *           7.84
468   29          0  kbm+03     *           10.44
469   27          0  mlc+01     *           18.27
470   10.0        0  jk18       *           3.20

471   11          0  mlc+01     *           26.47
472   79          0  mlc+01     *           57.74
473   4.0         0  jk18       *           22.87
474   6           1  dsb+98     98.25       *
475   27.1        0  jk18       *           98.05

476   57          0  kbm+03     *           6.39
477   12          0  tml93      298.08      *
478   29          0  lfl+06     *           14.94
479   21          0  kbm+03     *           28.58
480   19          0  kbm+03     *           30.72

481   15.4        0  jk18       642.46      48.18
482   18.2        0  jk18       *           554.62
483   15          0  lfl+06     *           5.00
484   35          7  dsb+98     38.86       *
485   2.5         0  jk18       2625.00     312.50

486   9.1         0  jk18       110.16      23.00
487   15          0  mlt+78     16.51       *
488   18          0  kbm+03     *           20.87
